posted,neighborhood,post title,number bedrooms,sqft,URL,price,Sauna,bedrooms,longitude,name,latitude,bathrooms_level_two,streetAddress,country,locality,postal,region,housing_type
2023-02-01,North Vancouver,"PARK WEST - Brand New - VIEW, VIEW -",1.0,640.0,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-park-west-brand-new/7580396246.html,3000,True,1.0,-123.122599,"PARK WEST - Brand New - VIEW, VIEW -",49.3247,1.0,1632 Lions Gate Lane,CA,North Vancouver,V7P3G2,BC,Apartment
2023-02-01,1328 West Pender Street,"1 bed + flex, 1 bath unit at Classico in Coal Harbour",1.0,570.0,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-flex-bath-unit-at/7583383309.html,2400,True,1.0,-123.126526,"1 bed + flex, 1 bath unit at Classico in Coal Harbour",49.288937,1.0,West Pender Street,CA,Vancouver,V6E4P1,BC,Apartment
2023-02-01,North Vancouver,NORTH SHORE LIVING - Best Floor Plan- 2bd/2bth @ Compass - UNFURNISHED,2.0,1000.0,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-north-shore-living-best/7584893171.html,3495,True,,,,,,,,,,,
2023-02-01,Richmond,D119 - Amazing spacious 3 Bedrooms / 3 Bathrooms at River Green,3.0,1300.0,https://vancouver.craigslist.org/rch/apa/d/richmond-d119-amazing-spacious-bedrooms/7578641508.html,4500,True,3.0,-123.148284,D119 - Amazing spacious 3 Bedrooms / 3 Bathrooms at River Green,49.175496,3.0,6688 PEARSON WAY,CA,Richmond,V7C4N3,BC,Apartment
2023-02-01,Vancouver,D80 - Amazing luxury apartment on the 47th floor,2.0,1100.0,https://vancouver.craigslist.org/van/apa/d/vancouver-d80-amazing-luxury-apartment/7579890484.html,6750,True,2.0,-123.13,D80 - Amazing luxury apartment on the 47th floor,49.2767,2.0,,CA,Vancouver,V6Z1W7,BC,Apartment
2023-02-01,Vancouver,D82 - Incredible 55th Floor Luxury Apartment,2.0,1500.0,https://vancouver.craigslist.org/van/apa/d/vancouver-d82-incredible-55th-floor/7580219760.html,8500,True,2.0,-123.13,D82 - Incredible 55th Floor Luxury Apartment,49.2767,3.0,,CA,Vancouver,V6Z1W7,BC,Apartment
2023-02-01,Vancouver,D81 - Brand new 3 bedroom apartment 49th floor in center of Downtown,3.0,1400.0,https://vancouver.craigslist.org/van/apa/d/vancouver-d81-brand-new-bedroom/7574808270.html,9000,True,3.0,-123.1298,D81 - Brand new 3 bedroom apartment 49th floor in center of Downtown,49.2833,3.0,,CA,Vancouver,V6E,BC,Apartment
2023-02-01,Vancouver,D82 - Incredible 55th Floor Luxury Apartment,2.0,1500.0,https://vancouver.craigslist.org/van/apa/d/vancouver-d82-incredible-55th-floor/7574808496.html,8500,True,2.0,-123.13,D82 - Incredible 55th Floor Luxury Apartment,49.2767,3.0,,CA,Vancouver,V6Z1W7,BC,Apartment
2023-02-01,North Vancouver,"Large, 1 B/R corner apartment.",1.0,630.0,https://vancouver.craigslist.org/van/apa/d/north-vancouver-large-b-corner-apartment/7584899232.html,2086,True,1.0,-123.071165,"Large, 1 B/R corner apartment.",49.315264,1.0,170,CA,North Vancouver,V7L1P2,BC,Apartment
2023-02-01,Olympic Village,Olympic Village Furnished 1 Bed plus Den Condo for Rent,1.0,500.0,https://vancouver.craigslist.org/van/apa/d/vancouver-olympic-village-furnished-bed/7584154569.html,2650,True,1.0,-123.102906,Olympic Village Furnished 1 Bed plus Den Condo for Rent,49.250972,1.0,Quebec Street,CA,Vancouver,V5V3K6,BC,Apartment
2023-02-01,Downtown,Magnificent furnished 2bed/2bath Condo,2.0,1079.0,https://vancouver.craigslist.org/nvn/apa/d/vancouver-magnificent-furnished-2bed/7584896567.html,4800,True,2.0,-123.13,Magnificent furnished 2bed/2bath Condo,49.2767,2.0,,CA,Vancouver,V6Z1W7,BC,Apartment
2023-02-01,North Vancouver,"Quiet, Large, South Facing Studio!",,460.0,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-quiet-large-south/7584895085.html,1927,True,,,,,,,,,,,
2023-02-01,"Higher Floor Unit -928 Beatty St, Vancouver","Downtown Vancouver! Studio w/ City view,1 Flex,1 Parking near Yaletown",,446.0,https://vancouver.craigslist.org/van/apa/d/vancouver-downtown-vancouver-studio/7575678067.html,2200,True,,,,,,,,,,,
2023-02-01,North Shore,Brand New Unit With The Lions Gate Bridge View In Park West,2.0,945.0,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-brand-new-unit-with-the/7577955765.html,5600,True,2.0,-123.122492,Brand New Unit With The Lions Gate Bridge View In Park West,49.324535,2.0,1632 Lions Gate Lane,CA,North Vancouver,V7P3G2,BC,Apartment
2023-02-01,Surrey,Two BedroomsPrime - MICRO SUITEs - 2 people max,2.0,440.0,https://vancouver.craigslist.org/rds/apa/d/surrey-inner-northwest-two/7582459314.html,1550,True,2.0,-122.8454,Two BedroomsPrime - MICRO SUITEs - 2 people max,49.1894,1.0,Central Ave,CA,Surrey Inner Northwest,V3T,BC,Apartment
2023-02-01,Burnaby,$3000 / 3 br- 1540ft - Large beautiful townhouse for rent!,3.0,1540.0,https://vancouver.craigslist.org/bnc/apa/d/burnaby-br-1540ft-large-beautiful/7584880005.html,3000,True,3.0,-122.9369,$3000 / 3 br- 1540ft - Large beautiful townhouse for rent!,49.264,2.0,,CA,Burnaby,V5A,BC,House
2023-02-01,North Vancouver,Furnished 2 Beds 2 Baths Apartment (Available only for February),2.0,950.0,https://vancouver.craigslist.org/van/apa/d/north-vancouver-southwest-furnished/7584869746.html,3700,True,2.0,-123.1149,Furnished 2 Beds 2 Baths Apartment (Available only for February),49.322,2.0,1632 Lions Gate,CA,North Vancouver Southwest,V7P,BC,Apartment
2023-02-01,Burnaby,Conveniently located Spacious 2 beds 2 baths North Burnaby (QS42),2.0,963.0,https://vancouver.craigslist.org/bnc/apa/d/burnaby-conveniently-located-spacious/7577394167.html,2925,True,2.0,-123.0074,Conveniently located Spacious 2 beds 2 baths North Burnaby (QS42),49.274,2.0,,CA,Burnaby,V5C,BC,Apartment
2023-02-01,North Vancouver,2 bed/2 Bath + Den Corner Unit For Rent ** Insta Group Realty**,2.0,924.0,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-southwest-bed-bath-den/7583305621.html,4295,True,2.0,-123.1149,2 bed/2 Bath + Den Corner Unit For Rent ** Insta Group Realty**,49.322,2.0,1632 Lionsgate Lane,CA,North Vancouver Southwest,V7P,BC,Apartment
2023-02-01,North Vancouver,1 Bed/1 Bath For Rent ***Insta Group Realty***,1.0,587.0,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-bed-bath-for-rent-insta/7582572013.html,2200,True,1.0,-123.122109,1 Bed/1 Bath For Rent ***Insta Group Realty***,49.327736,1.0,"2004 Fullerton Avenue,",CA,North Vancouver,V7P3G8,BC,Apartment
2023-02-01,Downtown,3 Bed 3 Bath Condo w/ Private Balcony & Panoramic Waterviews,3.0,2400.0,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-bath-condo-private/7579648249.html,14995,True,3.0,-123.1139,3 Bed 3 Bath Condo w/ Private Balcony & Panoramic Waterviews,49.2788,3.0,,CA,Vancouver,V6B2P2,BC,Apartment
2023-02-01,Olympic Village,1 Bed 1 Bath Condo w/ Stylish Interior & Balcony,1.0,864.0,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-bath-condo-stylish/7579549539.html,3995,True,1.0,-123.104882,1 Bed 1 Bath Condo w/ Stylish Interior & Balcony,49.2706,1.0,1661 Ontario Street,CA,Vancouver,V5Y0C8,BC,Apartment
2023-02-01,Downtown,1 Bed + Office Den 1 Bath Suite w/ Balcony & City Views,1.0,556.0,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-office-den-bath-suite/7579563591.html,3195,True,1.0,-123.1139,1 Bed + Office Den 1 Bath Suite w/ Balcony & City Views,49.2788,1.0,,CA,Vancouver,V6B2P2,BC,Apartment
2023-02-01,North Vancouver,Roche Point Furnished 2 Level 2 Bed 2 Bath Condo w/ Water Views,2.0,1262.0,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-outer-east-roche-point/7579127066.html,4250,True,,,,,,,,,,,
2023-02-01,"South Cambie, Vancouver West",Vancouver Brand New Cambie Gardens 1 bed condo for Rent,1.0,580.0,https://vancouver.craigslist.org/van/apa/d/vancouver-vancouver-brand-new-cambie/7584847601.html,2600,True,1.0,-123.1396,Vancouver Brand New Cambie Gardens 1 bed condo for Rent,49.2151,1.0,,CA,Vancouver,V6P4Z2,BC,Apartment
2023-01-28,"South Cambie, Vancouver West",Vancouver Brand New Cambie Gardens 1 bed condo for Rent,1.0,580.0,https://vancouver.craigslist.org/van/apa/d/vancouver-vancouver-brand-new-cambie/7583516224.html,2600,True,,,,,,,,,,,
2023-02-01,Beach Crescent,Executive View 3 Bedroom with Large Decks @ Waterford,3.0,1343.0,https://vancouver.craigslist.org/van/apa/d/vancouver-executive-view-bedroom-with/7580731117.html,5500,True,3.0,-123.126856,Executive View 3 Bedroom with Large Decks @ Waterford,49.271611,2.0,505-1483 Homer Street,CA,Vancouver,V6Z3C8,BC,Apartment
2023-02-01,Richmond,Concord Gardens 2 Bed 2 Bath + Den,2.0,,https://vancouver.craigslist.org/rch/apa/d/richmond-concord-gardens-bed-bath-den/7577895466.html,3200,True,2.0,-123.131158,Concord Gardens 2 Bed 2 Bath + Den,49.188267,2.0,8833 Hazelbridge Way,CA,Richmond,V6X1R3,BC,Apartment
