Index,Source_ID,Facility_Name,Facility_Type,Authority_Name,ISCED010,ISCED020,ISCED1,ISCED2,ISCED3,ISCED4Plus,OLMS_Status,Full_Addr,Unit,Street_No,Street_Name,City,Prov_Terr,Postal_Code,PRUID,CSDNAME,CSDUID,Longitude,Latitude,Geo_Source,Provider,CMANAME,CMAUID
7ef60b6f9229327a0320,4296940,Hope Lutheran Christian - Pitt Meadows,Independent School,,0,0,1,1,0,,0,18477 Old Dewdney Trunk Rd Pitt Meadows BC V3Y 2R9,,18477,old dewdney trunk rd,Pitt Meadows,BC,V3Y2R9,59,,,,,,Province of British Columbia,,
a085c8066b8d9641f254,4396635,Hope Lutheran Christian School,Independent School,,0,1,1,0,0,,0,3151 York St Port Coquitlam BC V3B 4A7,,3151,york st,Port Coquitlam,BC,V3B4A7,59,Port Coquitlam,5915039,-122.7644321,49.27030086,AGOL,Province of British Columbia,Vancouver,933
fc2e5ac159f7af1d1aa1,7832003,Hope Secondary,Public School,,0,0,0,1,1,,0,PO Box 249 Hope BC V0X 1L0,,,,Hope,BC,V0X1L0,59,Hope,5909009,-121.4434387,49.3860344,Nominatim,Province of British Columbia,...,...
983f5dd0e0e0fa336c79,7171070,Hornby Island Elementary,Public School,,0,1,1,1,0,,0,2100 Sollans Rd Hornby Island BC V0R 1Z0,,2100,sollans rd,Hornby Island,BC,V0R1Z0,59,,,,,,Province of British Columbia,,
5c77cd2f1b6446ddf563,2727061,Horse Lake Elementary,Public School,,0,1,1,1,0,,0,6548 Ryall Rd Lone Butte BC V0K 1X3,,6548,ryall rd,Lone Butte,BC,V0K1X3,59,,,,,,Province of British Columbia,,
c390fd2ea7fe071ffbb7,2727008,Horsefly Elem-Jr Secondary,Public School,,0,1,1,1,0,,0,PO Box 39 Horsefly BC V0L 1L0,,,,Horsefly,BC,V0L1L0,59,,,,,,Province of British Columbia,,
d83856456a33bcdcdbb6,5496091,Houston Christian School,Independent School,,0,1,1,1,1,,0,PO Box 237 Houston BC V0J 1Z0,,,,Houston,BC,V0J1Z0,59,,,,,,Province of British Columbia,,
ba9a57359a51a626409a,5454011,Houston Secondary,Public School,,0,0,0,1,1,,0,PO Box 1600 Houston BC V0J 1Z0,,,,Houston,BC,V0J1Z0,59,,,,,,Province of British Columbia,,
8b3ac72c4987a162923b,3838037,Howard De Beck Elementary,Public School,,0,1,1,1,0,,0,8600 Ash St Richmond BC V6Y 2S3,,8600,ash st,Richmond,BC,V6Y2S3,59,,,,,,Province of British Columbia,,
0863d8dd91552cdc6cfc,4848004,Howe Sound Secondary,Public School,,0,0,0,1,1,,0,PO Box 99 STN Main Squamish BC V8B 0A1,,,,Squamish,BC,V8B0A1,59,,,,,,Province of British Columbia,,
