,URL,Sauna
104,https://vancouver.craigslist.org/rch/apa/d/richmond-closed-to-richmond-centre-2b2b/7585371302.html,True
105,https://vancouver.craigslist.org/van/apa/d/west-vancouver-entertain-in-style-in/7581846712.html,True
106,https://vancouver.craigslist.org/van/apa/d/vancouver-luxury-bed-bath-at-the/7580403689.html,True
107,https://vancouver.craigslist.org/van/apa/d/vancouver-top-of-the-world-53rd-floor/7580421955.html,True
108,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-east-central-270-view/7580404802.html,True
109,https://vancouver.craigslist.org/van/apa/d/vancouver-fairmont-pacific-rim-estate/7580757290.html,True
110,https://vancouver.craigslist.org/van/apa/d/vancouver-breathtaking-views-2500-sq-ft/7585369668.html,True
111,https://vancouver.craigslist.org/van/apa/d/vancouver-brand-new-unfurnished-two/7581741981.html,True
112,https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-orcaref-wrarely/7584374288.html,True
113,https://vancouver.craigslist.org/van/apa/d/vancouver-orcaref-unfurnished-penthouse/7584374165.html,True
114,https://vancouver.craigslist.org/van/apa/d/vancouver-special-discount-high-rise/7580735119.html,True
115,https://vancouver.craigslist.org/rch/apa/d/richmond-closed-to-richmond-centre-2b2b/7585362432.html,True
116,https://vancouver.craigslist.org/pml/apa/d/white-rock-orcaref-1500m-luxury-2bed/7584647415.html,True
117,https://vancouver.craigslist.org/van/apa/d/elegant-newly-renovated-bed-bath-26th/7582235666.html,True
118,https://vancouver.craigslist.org/van/apa/d/vancouver-bedden-the-arc-89-nelson/7585358269.html,True
119,https://vancouver.craigslist.org/van/apa/d/vancouver-luxury-house-near-ubc/7579245830.html,True
120,https://vancouver.craigslist.org/van/apa/d/vancouver-rarely-available-level/7585354175.html,True
121,https://vancouver.craigslist.org/bnc/apa/d/burnaby-bedroom-gilmore-skytrain/7585352374.html,True
122,https://vancouver.craigslist.org/bnc/apa/d/burnaby-br-1540ft-large-beautiful/7585352201.html,True
123,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-compass-2302unfurnished/7582724821.html,True
124,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-southwest-great-layout/7585335284.html,True
125,https://vancouver.craigslist.org/van/apa/d/vancouver-brand-new-luxurious-bedrooms/7585319513.html,True
126,https://vancouver.craigslist.org/bnc/apa/d/burnaby-air-conditioned-metrotown-bed1/7585308581.html,True
127,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-southwest-2bed-2bath/7585337902.html,True
128,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-southwest-rent-by-feb/7585335843.html,True
129,https://vancouver.craigslist.org/van/apa/d/vancouver-large-2bed-2bath-waterfront/7585334845.html,True
130,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-southwest-brand-new-bed/7585334394.html,True
131,https://vancouver.craigslist.org/van/apa/d/vancouver-luxurious-3bed25-bath-with/7576691717.html,True
132,https://vancouver.craigslist.org/van/apa/d/vancouver-one-pacific-bed-luxury/7584543920.html,True
133,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-bd-brand-new-large/7585331087.html,True
134,https://vancouver.craigslist.org/pml/apa/d/coquitlam-two-bed-suite-in-hensley-near/7585307786.html,True
135,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-bedroom-apartment/7585320370.html,True
136,https://vancouver.craigslist.org/van/apa/d/vancouver-parkview-gardens-spacious-bed/7585308197.html,True
137,https://vancouver.craigslist.org/van/apa/d/vancouver-water-view-2br-den-condo-pool/7582578798.html,True
138,https://vancouver.craigslist.org/bnc/apa/d/coquitlam-available-april-bed-bath-with/7585313177.html,True
139,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-studio-available-in/7579552733.html,True
140,https://vancouver.craigslist.org/pml/apa/d/port-moody-brand-new-luxury-tower-jr/7583148923.html,True
141,https://vancouver.craigslist.org/pml/apa/d/port-moody-brand-new-luxury-tower/7583159666.html,True
142,https://vancouver.craigslist.org/van/apa/d/vancouver-pet-friedly-furnish-beds-den/7583350642.html,True
143,https://vancouver.craigslist.org/van/apa/d/north-vancouver-new-bed-den-bath/7583330957.html,True
144,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-retreat-heart-of/7583056710.html,True
145,https://vancouver.craigslist.org/van/apa/d/vancouver-fully-furnished-2br-condo/7585296462.html,True
146,https://vancouver.craigslist.org/van/apa/d/vancouver-marinaside-bedroom-bathflex/7581802890.html,True
147,https://vancouver.craigslist.org/van/apa/d/vancouver-fully-furnished-utilities/7579320225.html,True
148,https://vancouver.craigslist.org/van/apa/d/vancouver-coal-harbour-3beds-25baths/7581527143.html,True
149,https://vancouver.craigslist.org/bnc/apa/d/burnaby-metrotown-station-square-2b2b/7582274550.html,True
150,https://vancouver.craigslist.org/van/apa/d/vancouver-yaletown-brand-new-2b2b-den/7585292975.html,True
151,https://vancouver.craigslist.org/rch/apa/d/richmond-lotus-bedroom-unfurnished/7585260338.html,True
152,https://vancouver.craigslist.org/bnc/apa/d/burnaby-brand-new-bed-condo-in-burnaby/7582150418.html,True
153,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-bath-furnished-condo/7585284442.html,True
154,https://vancouver.craigslist.org/van/apa/d/vancouver-spectacular-ocean-view/7585283406.html,True
155,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-water-view-fully/7585281416.html,True
156,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-obsoldcom-stunning/7582125288.html,True
157,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-north-shore-living-best/7585253457.html,True
158,https://vancouver.craigslist.org/van/apa/d/new-westminster-northeast-bright-one/7585269987.html,True
159,https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-west-furnished-water/7585263185.html,True
160,https://vancouver.craigslist.org/van/apa/d/vancouver-modern-furnished-pet-friendly/7585264541.html,True
161,https://vancouver.craigslist.org/bnc/apa/d/burnaby-luxury-unfurnished-bedroom-for/7585259296.html,True
162,https://vancouver.craigslist.org/van/apa/d/vancouver-huge-waterfront-property-with/7581898437.html,True
163,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-brand-new-bed-bath-at/7580691528.html,True
